pair_id,long_video_id,short_video_id,run_id,selector_type,prompt_id,model_name,rank,pred_start_sec,pred_end_sec,pred_duration_sec,gold_start_sec,gold_end_sec,gold_duration_sec,overlap_sec,gold_coverage,temporal_iou,start_error_sec,end_error_sec,center_error_sec,length_score,start_score,core_hit,tight_hit,final_score,selected_scene_ids,confidence,notes
G024,5Vnj42O0s0M,Do2V1iG8X2Y,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,1,11.6,41.6,30.0,244.0,264.0,20.0,0.0,0.0,0.0,232.4,222.4,227.4,0.6666666666666666,0.0,False,False,6.666666666666667,,0.92,vpick_shortform_id=77488d59-0dcd-4ebd-ae40-2336c86d0f7c; title=기강 잡는 선배 해원? 신인 아이돌 당황
G024,5Vnj42O0s0M,Do2V1iG8X2Y,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,2,389.9,417.9,28.0,244.0,264.0,20.0,0.0,0.0,0.0,145.89999999999998,153.89999999999998,149.89999999999998,0.7142857142857143,0.0,False,False,7.142857142857144,,0.88,vpick_shortform_id=1dbc9c1a-b7b3-4ec4-94bf-d2e21b3499c0; title=워크돌X위글위글 역대급 굿즈 출시
G024,5Vnj42O0s0M,Do2V1iG8X2Y,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,3,103.3,132.4,29.10000000000001,244.0,264.0,20.0,0.0,0.0,0.0,140.7,131.6,136.15,0.6872852233676974,0.0,False,False,6.872852233676974,,0.88,vpick_shortform_id=bceeb44e-b09a-4bf9-b6a2-c4b58d5f5204; title=위글베어의 우주 과과몰입 현장
G024,5Vnj42O0s0M,Do2V1iG8X2Y,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,4,238.4,283.4,44.99999999999997,244.0,264.0,20.0,20.0,1.0,0.44444444444444475,5.599999999999994,19.399999999999977,6.899999999999977,0.44444444444444475,0.4400000000000006,True,True,69.37777777777781,,0.88,vpick_shortform_id=694b83f9-bac3-423b-9e20-b7dfed9eb927; title=BTS 백업댄서 출신 아이돌의 과거?
G024,5Vnj42O0s0M,Do2V1iG8X2Y,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,5,290.4,320.4,30.0,244.0,264.0,20.0,0.0,0.0,0.0,46.39999999999998,56.39999999999998,51.39999999999998,0.6666666666666666,0.0,False,False,6.666666666666667,,0.87,vpick_shortform_id=3a0fb7d4-765c-474d-abc9-2173733a5b7d; title=목마 타고 거울 청소? 환상의 팀워크
G023,81i9AucS92M,nXeoxjbSrcg,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,1,924.1,941.0,16.899999999999977,407.0,437.0,30.0,0.0,0.0,0.0,517.1,504.0,510.54999999999995,0.5633333333333326,0.0,False,False,5.633333333333327,,0.88,vpick_shortform_id=69a51c1b-e03e-43c9-89f1-593b710dece7; title=애인 차에 낯선 블루투스 기록?
G023,81i9AucS92M,nXeoxjbSrcg,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,2,322.3,352.3,30.0,407.0,437.0,30.0,0.0,0.0,0.0,84.69999999999999,84.69999999999999,84.69999999999999,1.0,0.0,False,False,10.0,,0.88,vpick_shortform_id=d5922069-5cec-449f-ae1c-92a461c34a73; title=외제차 성능 순위! 벤츠가 3위인 이유
G023,81i9AucS92M,nXeoxjbSrcg,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,3,53.55,98.55,45.0,407.0,437.0,30.0,0.0,0.0,0.0,353.45,338.45,345.95,0.6666666666666666,0.0,False,False,6.666666666666667,,0.88,vpick_shortform_id=0c227871-e07f-4b86-b158-bc761bf79393; title=권은비 진짜 차가 다마스? 정비소
G023,81i9AucS92M,nXeoxjbSrcg,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,4,0.0,28.6,28.6,407.0,437.0,30.0,0.0,0.0,0.0,407.0,408.4,407.7,0.9533333333333334,0.0,False,False,9.533333333333333,,0.88,vpick_shortform_id=5e155698-92e2-43cc-af6b-9bb69e60fd0f; title=숏폼 하이라이트
G023,81i9AucS92M,nXeoxjbSrcg,vpick_auto_shortform,vpick_baseline,vpick_auto,vpick,5,827.9,884.2,56.30000000000007,407.0,437.0,30.0,0.0,0.0,0.0,420.9,447.20000000000005,434.04999999999995,0.5328596802841912,0.0,False,False,5.328596802841911,,0.865,vpick_shortform_id=fade0a6e-da16-4452-946f-7dc334949a12; title=정비사 하루 일당 300만 원 실화?
