judge_run_id,provider,model,prompt_id,repeat_index,candidate_id,verdict,observation,confidence_1_5,failure_flags,transcript_intelligibility,boundary_observability,opening_pull,body_strength,boundary_integrity,judge_score_100,parse_status,total_tokens
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_10942df5b9a611,score,"태용이 자신의 곡 '문 투어'를 소개하며 여행을 한 번도 가본 적 없다는 사실을 고백하자, 출연진이 무인도 예능 출연을 제안하며 대화가 이어집니다. 이후 촬영을 마무리하고 다음 장소로 이동하기 위해 인사를 나누며 구간이 종료됩니다.",4,awkward_end,5.0,5.0,55.0,62.0,45.0,54.0,score,2679
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_1974865883eee0,score,두 여성이 서로의 헤어스타일과 의상이 과한지 여부를 두고 티격태격하며 유쾌하게 논쟁하는 상황입니다. 한국과 일본의 문화적 차이를 언급하며 서로의 스타일을 지적하는 대화가 이어지다 쇼핑이나 노래방을 제안하며 마무리됩니다.,5,,5.0,5.0,68.0,72.0,58.0,66.0,score,2748
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_1bc72ee5d290cc,score,AI를 활용한 곱창 관련 랩을 선보이는 과정에서 예상치 못한 '정관 수술' 언급이 튀어나와 출연진이 당황하며 웃음을 터뜨리는 상황입니다. 랩의 시작부터 수술 언급으로 인한 리액션까지가 구간에 포함되어 있습니다.,4,awkward_start,5.0,5.0,48.0,68.0,52.0,56.0,score,2687
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_277df4844362e1,score,"프랑스에서 낯선 사람과 눈이 마주쳤을 때 인사하는 문화적 예절을 상황극으로 보여주며, 인사를 하지 않을 경우의 불이익을 설명합니다. 이후 달팽이 요리 도구 사용법을 배우는 장면으로 전환됩니다.",4,awkward_end,4.0,4.0,65.0,62.0,45.0,57.3333,score,2745
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_27f17466563176,score,"남자가 핸드폰을 찾는 일상적인 행동으로 시작하여, 갑자기 핸드폰을 향해 공격적인 언사를 내뱉는 돌발적인 상황으로 전환됩니다. 이후 옷가게 상황극으로 장면이 급격히 전환되며 마무리됩니다.",4,awkward_end|context_dependent,4.0,5.0,35.0,48.0,30.0,37.6667,score,2511
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_2ac88d7a5dd028,score,"메이드 카페를 방문한 남성들이 입구에서 서로의 닮은꼴을 찾으며 당황해하다가, 카페에 입장하여 메이드의 환영 인사를 받는 과정을 담고 있습니다. 카페의 이질적인 분위기에 대한 출연자들의 반응과 메이드의 접객이 교차하며 상황이 전개됩니다.",4,awkward_end,5.0,5.0,58.0,62.0,48.0,56.0,score,2786
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_2c6ef4ac5ccb91,score,"마케팅팀 사무실에서 메이크업 제품을 활용해 남성 출연자에게 직접 화장을 해주는 상황입니다. '장정수', '도경수' 등 연예인 이름을 언급하며 메이크업 전후를 비교하는 농담이 이어지며, 이후 제품의 특징을 설명하는 장면으로 전환됩니다.",4,awkward_start|awkward_end,5.0,5.0,55.0,62.0,40.0,52.3333,score,2884
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_316ed9c3bf10ba,score,"식사를 마친 아이의 트림을 유도하는 과정에서 남녀가 아이와 대화하며 상황극을 펼치고, 트림 성공 후에도 아이가 잠들지 않아 체력을 소진시키려는 상황입니다. 아이를 돌보는 일상적인 육아 과정을 유쾌한 상황극으로 풀어내고 있습니다.",4,flat_emotion,5.0,5.0,45.0,52.0,60.0,52.3333,score,2818
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_3282c045450550,score,아이스크림 가게 직원이 손님과 대화하던 중 서로 대구 출신임을 확인하며 반가워하는 상황입니다. 고향 동네를 묻고 답하며 친밀감이 급격히 형성되는 과정이 담겨 있습니다.,5,,5.0,5.0,65.0,68.0,60.0,64.3333,score,2613
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_359c5677ec565b,score,"두 남자가 댄스 곡의 안무와 동작을 두고 대화를 나누며, 척추 측만증 언급 등 다소 엉뚱한 농담이 오가는 상황입니다. 이후 BJ 모드로 팬 미션을 수행하는 상황에 대한 설명으로 이어지며 마무리됩니다.",4,awkward_end,4.0,4.0,52.0,48.0,45.0,48.3333,score,2748
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_39e9ad74b67fff,score,"삼육대학교 학생들을 대상으로 비건 학식에 대한 인터뷰를 진행하며, 학식의 구성과 학생들의 반응을 확인하는 과정이 담겨 있습니다. 인터뷰 대상자와의 즉흥적인 대화와 학생의 솔직한 답변이 이어지며 학식을 확인하러 이동하는 지점에서 종료됩니다.",4,awkward_end,5.0,5.0,58.0,65.0,45.0,56.0,score,2686
gemini_gemini-3_1-flash-lite_shortform_judge_v11_ko,gemini,gemini-3.1-flash-lite,shortform_judge_v11_ko,1,C_3b4ab99fff5f32,score,"브랜드 컨셉인 형용사 표현법을 교육받는 과정에서, '키치한', '세피적인', '무게감 있는' 등 난해한 형용사를 표정으로 표현해야 하는 상황이 발생합니다. 선배에게 시범을 요청하며 당황하는 출연자들의 모습과 소통 오류가 이어지며 상황이 종료됩니다.",4,,4.0,4.0,42.0,68.0,58.0,56.0,score,2778
